"/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=nom,VDD=1.1,temperature=27) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ff_sp_lvt11,l65sp_v132.lib.scs:ff_65_momcaps,l65sp_v132.lib.scs:ff_sp_hvt11,VDD=1.21,temperature=-40) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:ss_65_momcaps,l65sp_v132.lib.scs:ss_sp_hvt11,l65sp_v132.lib.scs:ss_sp_lvt11,VDD=0.99,temperature=85) Y","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) X","/OA_Charge (modelFiles=l65sp_v132.lib.scs:fnsp_sp_hvt11,l65sp_v132.lib.scs:fnsp_sp_lvt11,l65sp_v132.lib.scs:tt_65_momcaps,VDD=1.1,temperature=27) Y"
nom,nom,ff,ff,ss,ss,fnsp,fnsp
1.50073806962229e-07,4.005086226031569e-07,1.034689264494194e-07,4.010274690022773e-07,1.298196781517836e-07,5.863995228634718e-08,1.500771391898047e-07,1.708911745079476e-06
1.500770810919503e-07,9.859870239648e-07,1.051171483792549e-07,4.879857820902381e-07,1.399098390758918e-07,7.860088049207428e-08,1.500836708498605e-07,1.843570364114078e-06
1.500836293513931e-07,2.613098404512763e-06,1.081072483792341e-07,5.86242395453542e-07,1.5e-07,9.415503580117189e-08,1.50090056941843e-07,-5.133789260778692e-06
1.500907646886882e-07,-2.695592276412714e-07,1.126692050632424e-07,6.525418094387426e-07,1.50025e-07,1.052253271754515e-07,1.500950284709215e-07,-1.716586393304128e-05
1.500953823443441e-07,-8.176707106507e-06,1.195728470073923e-07,6.870331366651681e-07,1.500642985953009e-07,-1.887812870954245e-07,1.501e-07,-3.137638488787993e-05
1.501e-07,-2.086215648374468e-05,1.298817894759762e-07,6.977889055906159e-07,1.500732239464757e-07,-3.554545579494797e-07,1.501035667505019e-07,-3.944565747246741e-05
1.501030922682009e-07,-2.964136755814059e-05,1.399408947379881e-07,7.005149600908058e-07,1.500866119732378e-07,-2.161931984613921e-07,1.501084934423771e-07,-4.715759125891844e-05
1.501077008418261e-07,-4.087330198296328e-05,1.5e-07,6.996316935974267e-07,1.501e-07,1.439565634902587e-06,1.501134146784465e-07,-4.728987149199034e-05
1.501123082840645e-07,-4.663473228529768e-05,1.50025e-07,6.909729193320073e-07,1.501054544789436e-07,2.475855001617462e-06,1.5011895765648e-07,-3.966058723412561e-05
1.501184370555173e-07,-4.366146685007668e-05,1.500350353320757e-07,5.845119909496393e-07,1.501138404318827e-07,2.61117494543861e-06,1.501244735051257e-07,-2.897004832776928e-05
1.501249398382878e-07,-3.102695780943504e-05,1.500487043049184e-07,4.872482718959579e-07,1.501217679576878e-07,-2.178376550244622e-06,1.501312705589087e-07,-1.786838012399617e-05
1.501310597921792e-07,-1.789805912392675e-05,1.500624001366145e-07,8.931120837287682e-07,1.501342943545502e-07,-1.944597922705808e-05,1.501389019185e-07,-8.907746118480008e-06
1.501382400743693e-07,-6.475464122841048e-06,1.500655881022277e-07,1.166201301694551e-06,1.501445951497825e-07,-3.416921606824906e-05,1.501469130377225e-07,-1.615570012590913e-06
1.50146144160299e-07,1.60139415819846e-06,1.500719640334541e-07,2.330397158458933e-06,1.501581251838765e-07,-4.067485553225912e-05,1.50156934673417e-07,6.657781712096184e-06
1.501550161535699e-07,7.560728959264543e-06,1.500783486787095e-07,-2.481011232845065e-06,1.501689890021963e-07,-3.352674803647523e-05,1.50171613383177e-07,1.711793478394694e-05
1.501662981969114e-07,1.35388082688659e-05,1.500854327322656e-07,-2.508734686384911e-05,1.501790690464503e-07,-2.23999016207124e-05,1.501941386221756e-07,2.525038282669797e-05
1.501828811223242e-07,2.035312696020498e-05,1.500911876937177e-07,-4.739827818638127e-05,1.501905430584789e-07,-1.183159672884124e-05,1.502231158831133e-07,2.285368507327848e-05
1.50208512306014e-07,2.37963982297036e-05,1.500962847511911e-07,-5.12132596546514e-05,1.502032534657375e-07,-3.658519819734569e-06,1.502498905563833e-07,1.433730608931825e-05
1.502436140655377e-07,1.600448934342676e-05,1.501e-07,-4.199548759167759e-05,1.502164764615786e-07,2.38062748077644e-06,1.50279836500921e-07,5.581525860096704e-06
1.502734155311915e-07,5.757555776214806e-06,1.501024217405644e-07,-3.244765484354427e-05,1.50233530899544e-07,8.752617234425499e-06,1.50318598802295e-07,-7.663183188545486e-07
1.503072709143236e-07,-1.454667256266649e-06,1.501062610243003e-07,-1.792778519176072e-05,1.502590553217509e-07,1.638773762921787e-05,1.503847970465425e-07,-3.187097615888775e-06
1.50350785389626e-07,-3.862431401254701e-06,1.501102476590979e-07,-5.776414666197126e-06,1.502996499249978e-07,2.178239653828577e-05,1.504517046343152e-07,-1.936434220710179e-06
1.504079133246302e-07,-2.667300007790086e-06,1.501173152463176e-07,7.469165107835972e-06,1.5035356637992e-07,1.693769441138598e-05,1.505241993742363e-07,-9.830695951742913e-07
1.504704506652503e-07,-1.003676232982739e-06,1.501233211825247e-07,1.326876842430005e-05,1.503978483208283e-07,8.380523565543587e-06,1.506083521940041e-07,-6.676556898480328e-07
1.505460909451042e-07,-2.700419434839571e-07,1.5013123594929e-07,1.803082154508968e-05,1.504481447379891e-07,9.258075689332656e-07,1.507282610449428e-07,-4.681870945971771e-07
1.506470803522175e-07,-6.008977203575773e-09,1.501409047722848e-07,2.311216930459694e-05,1.50514121413006e-07,-3.196532935394137e-06,1.509158065502426e-07,-4.742128081910236e-07
1.508041077710612e-07,-3.34315674304772e-08,1.501577948462585e-07,2.773738346310267e-05,1.506124272138112e-07,-3.031344901406219e-06,1.512600678011833e-07,-3.99979356469802e-07
1.510746821606278e-07,1.062915777234387e-08,1.501806820521739e-07,2.074610899211672e-05,1.507082148622763e-07,-1.321429970386895e-06,1.519485903030647e-07,-3.238026985210091e-07
1.51615830939761e-07,-2.512062718860071e-08,1.502037369265599e-07,7.849529102664704e-06,1.508217435283822e-07,-3.696104395171275e-07,1.529266837566783e-07,-1.90415048154039e-07
1.524537272040485e-07,2.136003425106241e-08,1.502273785899401e-07,-6.941787931033121e-07,1.509633825768998e-07,-6.485217748826479e-09,1.543748146333119e-07,-7.627269098243026e-08
1.536829345893724e-07,-3.044860258987874e-09,1.50255984125573e-07,-3.564576048963852e-06,1.511790367849532e-07,2.045205498271448e-08,1.565619206038723e-07,7.02628029632555e-08
